time(msec), BW(kbps), read0_write1, offset
250, 144, 0, 0
250, 32, 1, 0
500, 64, 1, 0
750, 32, 1, 0
1000, 16, 1, 0
1250, 32, 0, 0
1250, 32, 1, 0
1500, 32, 0, 0
1500, 144, 1, 0
1750, 32, 0, 0
2000, 128, 0, 0
2500, 128, 1, 0
3000, 32, 0, 0
3250, 48, 0, 0
3750, 128, 0, 0
3750, 64, 1, 0
4000, 16, 1, 0
4250, 32, 1, 0
4500, 128, 0, 0
4500, 64, 1, 0
5001, 31, 1, 0
5250, 128, 1, 0
5500, 32, 0, 0
6000, 64, 0, 0
6250, 128, 0, 0
6250, 64, 1, 0
6750, 32, 1, 0
7000, 64, 1, 0
7250, 64, 0, 0
7500, 48, 1, 0
7750, 32, 0, 0
7750, 16, 1, 0
8000, 32, 0, 0
8000, 32, 1, 0
8250, 32, 0, 0
8250, 64, 1, 0
8500, 16, 0, 0
8750, 32, 0, 0
8750, 128, 1, 0
9000, 128, 0, 0
9750, 32, 1, 0
10000, 32, 0, 0
10000, 32, 1, 0
10250, 48, 0, 0
10250, 32, 1, 0
10500, 64, 0, 0
10500, 64, 1, 0
11000, 128, 0, 0
11000, 48, 1, 0
11250, 128, 1, 0
12000, 128, 0, 0
12250, 16, 1, 0
12501, 127, 1, 0
13000, 16, 0, 0
13250, 32, 0, 0
13500, 128, 0, 0
13500, 48, 1, 0
13750, 16, 1, 0
14000, 32, 1, 0
14250, 64, 1, 0
14500, 80, 0, 0
14750, 16, 1, 0
15000, 64, 0, 0
15000, 160, 1, 0
15501, 31, 0, 0
15750, 16, 0, 0
16000, 48, 0, 0
16000, 16, 1, 0
16250, 32, 0, 0
16250, 128, 1, 0
16500, 64, 0, 0
17000, 32, 0, 0
17250, 32, 0, 0
17250, 32, 1, 0
17500, 64, 0, 0
17500, 32, 1, 0
17751, 63, 1, 0
18000, 128, 0, 0
18250, 32, 1, 0
18500, 32, 1, 0
18750, 64, 1, 0
19000, 64, 0, 0
19250, 128, 1, 0
19500, 32, 0, 0
19750, 128, 0, 0
20250, 128, 1, 0
20750, 64, 0, 0
21250, 64, 0, 0
21250, 128, 1, 0
21750, 128, 0, 0
22251, 31, 1, 0
22500, 128, 1, 0
22750, 32, 0, 0
23000, 16, 0, 0
23250, 32, 0, 0
23500, 32, 0, 0
23500, 32, 1, 0
23751, 143, 0, 0
23751, 47, 1, 0
24000, 32, 1, 0
24250, 64, 1, 0
24750, 64, 0, 0
24750, 128, 1, 0
25250, 32, 0, 0
25500, 128, 0, 0
25750, 16, 1, 0
26000, 80, 1, 0
26500, 32, 0, 0
26500, 32, 1, 0
26750, 64, 0, 0
26750, 64, 1, 0
27250, 16, 0, 0
27250, 16, 1, 0
27500, 32, 0, 0
27500, 144, 1, 0
27750, 128, 0, 0
28500, 16, 1, 0
28750, 128, 0, 0
28750, 32, 1, 0
29000, 64, 1, 0
29500, 128, 1, 0
29750, 32, 0, 0
30000, 64, 0, 0
30500, 32, 0, 0
30500, 16, 1, 0
30750, 32, 0, 0
30750, 128, 1, 0
31000, 32, 0, 0
31250, 16, 0, 0
31500, 80, 0, 0
31500, 32, 1, 0
31750, 128, 1, 0
32000, 64, 0, 0
32500, 32, 0, 0
32750, 32, 0, 0
32750, 16, 1, 0
33000, 64, 0, 0
33000, 64, 1, 0
33500, 80, 0, 0
33500, 32, 1, 0
33750, 128, 1, 0
34000, 16, 0, 0
34250, 128, 0, 0
34750, 64, 1, 0
35250, 128, 0, 0
35250, 32, 1, 0
35500, 128, 1, 0
36250, 64, 0, 0
36500, 144, 1, 0
36750, 128, 0, 0
37500, 32, 1, 0
37750, 32, 0, 0
37750, 32, 1, 0
38000, 32, 0, 0
38000, 64, 1, 0
38250, 80, 0, 0
38500, 64, 1, 0
39000, 64, 0, 0
39000, 32, 1, 0
39250, 16, 0, 0
39250, 16, 1, 0
39500, 32, 0, 0
39500, 32, 1, 0
39750, 128, 0, 0
39750, 144, 1, 0
40750, 64, 0, 0
41000, 128, 1, 0
41250, 32, 0, 0
41501, 63, 0, 0
41750, 16, 1, 0
42000, 32, 0, 0
42000, 64, 1, 0
42250, 32, 0, 0
42500, 128, 0, 0
42500, 64, 1, 0
43000, 32, 1, 0
43250, 128, 1, 0
43500, 32, 0, 0
43750, 16, 0, 0
44000, 48, 0, 0
44250, 144, 0, 0
44250, 32, 1, 0
44501, 47, 1, 0
44750, 32, 1, 0
45000, 32, 1, 0
45500, 160, 0, 0
45500, 128, 1, 0
46250, 32, 1, 0
46500, 128, 0, 0
46500, 16, 1, 0
46750, 32, 1, 0
47000, 32, 1, 0
47250, 32, 1, 0
47500, 32, 0, 0
47501, 64, 1, 0
47750, 32, 0, 0
48000, 32, 0, 0
48000, 144, 1, 0
48500, 48, 0, 0
48750, 128, 0, 0
49250, 160, 1, 0
49750, 16, 0, 0
50000, 64, 0, 0
50250, 64, 0, 0
50250, 32, 1, 0
50501, 31, 1, 0
50750, 32, 0, 0
50750, 32, 1, 0
51000, 16, 0, 0
51000, 128, 1, 0
51250, 32, 0, 0
51500, 32, 0, 0
51750, 32, 0, 0
52000, 16, 0, 0
52000, 32, 1, 0
52250, 128, 0, 0
52250, 64, 1, 0
52751, 127, 1, 0
53000, 64, 0, 0
53500, 32, 0, 0
53750, 32, 0, 0
53750, 64, 1, 0
54000, 128, 0, 0
54250, 128, 1, 0
55000, 32, 0, 0
55250, 32, 0, 0
55250, 64, 1, 0
55500, 16, 0, 0
55750, 64, 0, 0
55750, 32, 1, 0
56250, 64, 0, 0
56250, 128, 1, 0
56750, 32, 0, 0
57000, 48, 0, 0
57000, 64, 1, 0
57250, 64, 0, 0
57500, 64, 1, 0
57750, 32, 0, 0
58000, 128, 0, 0
58000, 32, 1, 0
58250, 32, 1, 0
58500, 128, 1, 0
59250, 64, 0, 0
59500, 16, 0, 0
59500, 32, 1, 0
59750, 128, 0, 0
59750, 16, 1, 0
60000, 32, 1, 0
