time(msec), lat(ns), read0_write1, offset
250, 53483, 1, 0
750, 57462, 1, 0
1000, 55109, 1, 0
1125, 127433, 0, 0
1125, 38527, 1, 0
1375, 66540, 0, 0
1375, 19142, 1, 0
1500, 77867, 1, 0
1625, 109732, 0, 0
1875, 196023, 0, 0
2500, 81790, 1, 0
2875, 106530, 0, 0
3125, 119798, 0, 0
3250, 127068, 0, 0
3500, 202978, 0, 0
3500, 27947, 1, 0
3750, 62324, 1, 0
4000, 26308, 1, 0
4125, 54213, 1, 0
4375, 59449, 1, 0
4500, 196133, 0, 0
4875, 61667, 1, 0
5000, 31712, 1, 0
5125, 74988, 1, 0
5500, 109202, 0, 0
5750, 116374, 0, 0
6125, 42287, 1, 0
6250, 193019, 0, 0
6625, 67032, 1, 0
6875, 63811, 1, 0
7250, 132659, 0, 0
7375, 57088, 1, 0
7500, 54705, 1, 0
7750, 42798, 1, 0
7750, 90738, 0, 0
7875, 52008, 1, 0
8000, 110033, 0, 0
8000, 31598, 1, 0
8125, 60390, 1, 0
8250, 122345, 0, 0
8500, 62173, 0, 0
8625, 104945, 0, 0
8625, 59796, 1, 0
8875, 196611, 0, 0
9625, 61001, 1, 0
9875, 121333, 0, 0
9875, 34154, 1, 0
10125, 107696, 0, 0
10125, 45321, 1, 0
10250, 122485, 0, 0
10375, 63652, 1, 0
10500, 124681, 0, 0
10875, 55836, 1, 0
11000, 166017, 0, 0
11000, 35417, 1, 0
11250, 72275, 1, 0
12000, 194430, 0, 0
12250, 59090, 1, 0
12375, 72668, 1, 0
13000, 103302, 0, 0
13125, 125941, 0, 0
13375, 62991, 1, 0
13375, 134232, 0, 0
13500, 56104, 1, 0
13750, 49362, 1, 0
13875, 56221, 1, 0
14125, 62908, 1, 0
14375, 117182, 0, 0
14500, 110193, 0, 0
14625, 54405, 1, 0
14750, 54628, 1, 0
15000, 72459, 1, 0
15000, 91751, 0, 0
15500, 128721, 0, 0
15750, 110444, 0, 0
15875, 103949, 0, 0
16000, 54449, 1, 0
16000, 88969, 0, 0
16125, 60811, 1, 0
16250, 110377, 0, 0
16500, 126788, 0, 0
17000, 128376, 0, 0
17125, 57721, 1, 0
17250, 106813, 0, 0
17375, 54424, 1, 0
17500, 124684, 0, 0
17625, 60148, 1, 0
18000, 171349, 0, 0
18125, 62568, 1, 0
18375, 56508, 1, 0
18625, 60489, 1, 0
19000, 125080, 0, 0
19125, 81707, 1, 0
19500, 114181, 0, 0
19750, 198164, 0, 0
20125, 73672, 1, 0
20750, 150216, 0, 0
21125, 90075, 1, 0
21250, 101261, 0, 0
21750, 109789, 0, 0
22125, 35228, 1, 0
22375, 47408, 1, 0
22750, 108029, 0, 0
23000, 104281, 0, 0
23125, 110778, 0, 0
23375, 139035, 0, 0
23375, 37597, 1, 0
23625, 59345, 1, 0
23625, 75192, 0, 0
23750, 200608, 0, 0
23750, 42921, 1, 0
24000, 56439, 1, 0
24250, 69561, 1, 0
24750, 113981, 0, 0
24750, 43570, 1, 0
25250, 59023, 0, 0
25500, 76124, 0, 0
25750, 54700, 1, 0
25875, 47150, 1, 0
26000, 59188, 1, 0
26500, 122061, 0, 0
26500, 37091, 1, 0
26750, 69483, 1, 0
26750, 112725, 0, 0
27250, 55493, 1, 0
27250, 89099, 0, 0
27375, 47677, 1, 0
27375, 101394, 0, 0
27500, 74089, 1, 0
27500, 105050, 0, 0
27625, 199299, 0, 0
28500, 60675, 1, 0
28625, 55533, 1, 0
28625, 176026, 0, 0
28875, 45378, 1, 0
29375, 86443, 1, 0
29625, 132137, 0, 0
29875, 126920, 0, 0
